rpm,time_diff,x
2438.88,20326,21.80529499053955
2438.88,20327,21.805988311767578
2438.88,20329,21.80650782585144
2438.88,20330,21.806987524032593
2438.88,20331,21.80747365951538
2438.88,20332,21.807973384857178
2438.88,20334,21.810155630111694
2438.88,20335,21.811245918273926
2438.88,20336,21.81265902519226
2438.88,20337,21.81546449661255
2438.88,20339,21.816955089569092
2438.88,20340,21.818256378173828
2438.88,20341,21.81950879096985
2438.88,20342,21.820639848709106
2438.88,20344,21.82284927368164
2438.88,20345,21.8234703540802
2438.88,20346,21.82411503791809
2438.88,20347,21.82465958595276
2438.88,20349,21.82530164718628
2438.88,20350,21.82621145248413
2438.88,20352,21.828440189361572
2438.88,20353,21.82898736000061
2438.88,20355,21.829487323760986
2438.88,20356,21.831738471984863
2438.88,20357,21.832399129867554
2438.88,20358,21.834320545196533
2438.88,20360,21.835087060928345
2438.88,20361,21.837082862854004
2438.88,20362,21.83762788772583
2438.88,20363,21.839752197265625
2438.88,20364,21.840887308120728
2438.88,20366,21.84261989593506
2438.88,20367,21.843612670898438
2438.88,20368,21.84413981437683
2395.03,20369,21.845412492752075
2395.03,20371,21.8466215133667
2395.03,20372,21.848092079162598
2395.03,20373,21.84957456588745
2395.03,20374,21.85099959373474
2395.03,20376,21.85229229927063
2395.03,20377,21.85334825515747
2395.03,20378,21.853852033615112
2395.03,20379,21.856108903884888
2395.03,20381,21.8570077419281
2395.03,20382,21.85882878303528
2395.03,20383,21.86029052734375
2395.03,20384,21.86147928237915
2395.03,20386,21.862046480178833
2395.03,20387,21.86421775817871
2395.03,20388,21.864871978759766
2395.03,20389,21.865373611450195
2395.03,20391,21.867454051971436
2395.03,20392,21.868521690368652
2395.03,20393,21.869972705841064
2395.03,20395,21.87109875679016
2395.03,20397,21.872390508651733
2395.03,20398,21.873844861984253
2395.03,20399,21.87518882751465
2395.03,20400,21.876121044158936
2395.03,20402,21.87786293029785
2395.03,20403,21.87901282310486
2395.03,20404,21.88088870048523
2395.03,20405,21.882604837417603
2395.03,20407,21.883543252944946
2395.03,20408,21.884066820144653
2395.03,20409,21.884566068649292
2395.03,20410,21.88607382774353
2395.03,20412,21.886926412582397
2395.03,20413,21.889232873916626
2395.03,20414,21.89037585258484
2395.03,20415,21.891624689102173
2395.03,20417,21.893128395080566
2395.03,20418,21.894264936447144
2395.03,20419,21.8957359790802
2395.03,20420,21.896972179412842
2395.03,20422,21.898630142211914
2395.03,20423,21.901111364364624
2395.03,20424,21.90161395072937
2395.03,20425,21.902280807495117
2395.03,20427,21.90277075767517
2395.03,20428,21.90516185760498
2395.03,20429,21.90614652633667
2395.03,20430,21.906636953353882
2395.03,20431,21.90892791748047
2395.03,20433,21.90992045402527
2395.03,20434,21.91069221496582
2395.03,20435,21.911226987838745
2395.03,20436,21.913355827331543
2395.03,20439,21.91390609741211
2395.03,20440,21.916897773742676
2395.03,20441,21.91850709915161
2395.03,20442,21.919298887252808
2395.03,20444,21.920324087142944
2395.03,20445,21.921387910842896
2395.03,20446,21.92200469970703
2395.03,20447,21.924365520477295
2395.03,20449,21.925735235214233
2395.03,20450,21.92631459236145
2395.03,20451,21.926892042160034
2395.03,20452,21.92735528945923
2395.03,20454,21.93059015274048
2395.03,20455,21.934924840927124
2395.03,20456,21.935439586639404
2395.03,20457,21.93593192100525
2395.03,20459,21.936407804489136
2395.03,20460,21.936954021453857
2395.03,20461,21.937697649002075
2395.03,20462,21.93818235397339
2395.03,20464,21.941256999969482
2395.03,20465,21.94195008277893
2395.03,20466,21.944246530532837
2395.03,20467,21.944770097732544
2395.03,20469,21.945847034454346
2381.88,20470,21.94644021987915
2381.88,20471,21.946897268295288
2381.88,20472,21.9487783908844
2381.88,20474,21.950114965438843
2381.88,20475,21.95144486427307
2381.88,20476,21.95260524749756
2381.88,20477,21.955041885375977
2381.88,20480,21.95566487312317
2381.88,20481,21.95679497718811
2381.88,20482,21.957613229751587
2381.88,20483,21.959554433822632
2381.88,20485,21.960925102233887
2381.88,20486,21.964051008224487
2381.88,20487,21.96498441696167
2381.88,20488,21.96550703048706
2381.88,20490,21.96599268913269
2381.88,20491,21.966525554656982
2381.88,20492,21.967814922332764
2381.88,20493,21.968560457229614
2381.88,20494,21.970441579818726
2381.88,20496,21.971121549606323
2381.88,20497,21.97314763069153
2381.88,20498,21.973771810531616
2381.88,20499,21.975872039794922
2381.88,20501,21.976470232009888
2381.88,20502,21.97856593132019
2381.88,20503,21.979069232940674
2381.88,20504,21.981334447860718
2381.88,20506,21.98648691177368
2381.88,20507,21.988081455230713
2381.88,20508,21.989466667175293
2381.88,20509,21.990811347961426
2381.88,20511,21.99183487892151
2381.88,20512,21.993149042129517
2381.88,20513,21.994266986846924
2381.88,20514,21.99588966369629
2381.88,20516,21.99764084815979
2381.88,20517,21.99826407432556
2381.88,20518,21.99892234802246
2381.88,20519,21.99956226348877
2381.88,20521,22.000197887420654
2381.88,20523,22.000794887542725
2381.88,20524,22.00147008895874
2381.88,20525,22.002089023590088
2381.88,20527,22.003037929534912
2381.88,20528,22.00367307662964
2381.88,20529,22.005813121795654
2381.88,20530,22.006728649139404
2381.88,20532,22.00792932510376
2381.88,20533,22.0086350440979
2381.88,20534,22.0092830657959
2381.88,20535,22.01137399673462
2381.88,20537,22.012038469314575
2381.88,20538,22.014000177383423
2381.88,20539,22.01490616798401
2381.88,20540,22.016761302947998
2381.88,20542,22.019033670425415
2381.88,20543,22.02172303199768
2381.88,20544,22.024815320968628
2381.88,20545,22.027613401412964
2381.88,20547,22.0282621383667
2381.88,20548,22.028916358947754
2381.88,20549,22.029433965682983
2381.88,20550,22.029862642288208
2381.88,20552,22.03029990196228
2381.88,20553,22.03071928024292
2381.88,20554,22.031163215637207
2381.88,20555,22.031603813171387
2381.88,20557,22.033052921295166
2381.88,20558,22.033587217330933
2381.88,20559,22.035978317260742
2381.88,20560,22.037594318389893
2381.88,20561,22.03893256187439
2381.88,20563,22.042116403579712
2381.88,20564,22.046218633651733
2381.88,20566,22.04671812057495
2381.88,20567,22.047146320343018
2381.88,20569,22.047597408294678
2381.88,20570,22.048024654388428
2585.85,20571,22.048452615737915
2585.85,20572,22.048946142196655
2585.85,20574,22.050188541412354
2585.85,20575,22.05066728591919
2585.85,20576,22.05217480659485
2585.85,20577,22.05276393890381
2585.85,20579,22.054786443710327
2585.85,20580,22.055481672286987
2585.85,20581,22.057562589645386
2585.85,20582,22.058125734329224
2585.85,20584,22.060361623764038
2585.85,20585,22.06261706352234
2585.85,20586,22.063586473464966
2585.85,20587,22.0645112991333
2585.85,20589,22.066915035247803
2585.85,20590,22.06811785697937
2585.85,20591,22.070030689239502
2585.85,20592,22.071666479110718
2585.85,20594,22.072216272354126
2585.85,20595,22.073121070861816
2585.85,20596,22.07366108894348
2585.85,20597,22.074183225631714
2585.85,20599,22.074758529663086
2585.85,20600,22.077564001083374
2585.85,20601,22.080252408981323
2585.85,20602,22.080784797668457
2585.85,20604,22.081241130828857
2585.85,20605,22.082104921340942
2585.85,20606,22.082928895950317
2585.85,20608,22.085015296936035
2585.85,20610,22.085628032684326
2585.85,20611,22.089102745056152
2585.85,20612,22.091111660003662
2585.85,20613,22.092180252075195
2585.85,20615,22.092678785324097
2585.85,20616,22.093210697174072
2585.85,20617,22.09365749359131
2585.85,20618,22.09420347213745
2585.85,20620,22.095613956451416
2585.85,20621,22.096336126327515
2585.85,20622,22.09888744354248
2585.85,20623,22.101035594940186
2585.85,20624,22.102056741714478
2585.85,20626,22.102583169937134
2585.85,20627,22.103726148605347
2585.85,20628,22.10430908203125
2585.85,20629,22.10708737373352
2585.85,20631,22.10838556289673
2585.85,20632,22.109230995178223
2585.85,20633,22.10961604118347
2585.85,20634,22.110000610351562
2585.85,20636,22.11199951171875
2585.85,20637,22.11247444152832
2585.85,20638,22.115251064300537
2585.85,20639,22.11669158935547
2585.85,20641,22.117339372634888
2585.85,20642,22.1177716255188
2585.85,20643,22.120269298553467
2585.85,20644,22.121432065963745
2585.85,20646,22.1229829788208
2585.85,20647,22.123488903045654
2585.85,20648,22.125518798828125
2585.85,20649,22.126462697982788
2585.85,20652,22.128187656402588
2585.85,20653,22.12913203239441
2585.85,20654,22.13054323196411
2585.85,20655,22.132163047790527
2585.85,20657,22.132933855056763
2585.85,20658,22.133699893951416
2585.85,20659,22.134211540222168
2585.85,20660,22.13704490661621
2585.85,20662,22.138596773147583
2585.85,20663,22.14040732383728
2585.85,20664,22.142075538635254
2585.85,20665,22.14321780204773
2585.85,20667,22.143772840499878
2585.85,20668,22.14452314376831
2585.85,20669,22.145124912261963
2585.85,20670,22.14726185798645
2439.12,20672,22.147929191589355
2439.12,20673,22.149991035461426
2439.12,20674,22.150842905044556
2439.12,20675,22.15159797668457
2439.12,20677,22.153001070022583
2439.12,20678,22.15415096282959
2439.12,20679,22.155494689941406
2439.12,20680,22.156038522720337
2439.12,20682,22.15905499458313
2439.12,20683,22.161882877349854
2439.12,20684,22.1640522480011
2439.12,20685,22.166020154953003
2439.12,20687,22.16694974899292
2439.12,20688,22.167452812194824
2439.12,20689,22.16793918609619
2439.12,20690,22.168482065200806
2439.12,20691,22.169336080551147
2439.12,20694,22.169957637786865
2439.12,20695,22.170440673828125
2439.12,20696,22.171849489212036
2439.12,20697,22.172443866729736
2439.12,20699,22.17464542388916
2439.12,20700,22.17517924308777
2439.12,20701,22.177348613739014
2439.12,20702,22.177963733673096
2439.12,20704,22.18005657196045
2439.12,20705,22.180710792541504
2439.12,20706,22.18277144432068
2439.12,20707,22.183673858642578
2439.12,20709,22.185428142547607
2439.12,20710,22.186421632766724
